2025-07-01,   Title: Monthly (dollars per Month)
AUTO FINANCE,29.06
AUTOINSURANCE,12.14
AUTOMAINTENANCE,0.82
BANK/CARDFEES,0.00
BOOKS/EDUCATION,4.27
CASH,1.32
CHARITABLECONTRIBUTIONS,0.00
COMPUTERSOFTWARE/HARDWARE,0.00
DININGOUT,1.32
DOCTOR/HOSPITAL,9.86
FOOD/GROCERIES,17.04
GAS,35.22
GIFTS/DONATIONS,0.72
HEALTHINSURANCE,0.63
HOUSEHOLD,14.73
INTERNET SERVICE,2.89
LEGAL/DEBT,1.32
MEDICAL/DENTAL/VISION INSURANCE,0.46
MEDICAL/DENTAL/VISION,6.08
MISCELLANEOUS,0.99
NEWSPAPER/MAGAZINES,0.13
PETCARE,2.52
TITHE,0.00
TRAVEL,0.00
UTILITIES : ELECTRICITY,2.28
UTILITIES : INTERNET,5.72
VACATION/TRAVEL,0.66
